	MeSH Disease Term	PubMed occurrence
119	Заболевания плода	14185
120	Новообразования прямой кишки	14051
121	кисты	13974
122	Гепатит Б	13961
123	гломерулонефрит	13815
124	Желчные камни	13762
125	Глаукома	13611
126	лейкоз, миелоидный	13417
127	Инфекции дыхательных путей	13392
128	анемия	13275
129	Инфекционное заболевание	13195
130	Гипертония, Легочная	13068
131	Рот Новообразования	13002
132	Болезни лошадей	12999
133	Младенец, Новорожденный, Болезни	12972
134	Артериальные окклюзионные заболевания	12967
135	Клетки-предшественники лимфобластный лейкоз-лимфома	12946
136	Дыхательная недостаточность	12928
137	Желудочно-кишечные заболевания	12903
138	Токсемия	12831
139	малярия	12709
140	лейкемия, лимфоидная	12551
141	Новообразования яичка	12480
142	Кардиомиопатии	12321
143	Гипертиреоз	12285
144	Стрептококковые инфекции	12253
145	Саркоидоз	12242
146	Карцинома, почечно-клеточная	12220
147	Преэклампсия	12118
148	Гипотиреоз	12116
149	язвенная болезнь	11997
150	Остеоартрит	11913
151	Мигрень расстройства	11890
152	Гиперлипидемии	11745
153	Кровоизлияние в мозг	11643
154	Артрит	11628
155	Нейробластома	11594
156	Синдром Дауна	11507
157	Синдром дефицита внимания с гиперактивностью	11428
158	Предраковые состояния	11413
159	Новообразования гипофиза	11363
160	Новообразования, множественные первичные	11289
161	Бесплодие, Женский	11287
162	Амилоидоз	11208
163	Инородные тела	11184
164	Мышечные заболевания	11160
165	Заболевания периферической нервной системы	11139
166	Заболевания легких, обструктивные	11033
167	Новообразования гортани	10973
168	кишечная непроходимость	10943
169	Стрессовые расстройства, посттравматические	10934
170	Арест сердца	10894
171	Легочные заболевания, хроническая обструктивная	10883
172	Осложнения беременности, инфекционные	10840
173	Цитомегаловирусные инфекции	10749
174	Сосудистые заболевания	10742
175	Катаракта	10719
176	Язвенная болезнь желудка	10664
177	Гемофилия А	10650
178	Желчекаменная болезнь	10641
179	гиперхолестеринемия	10608
180	Анемия, серповидноклеточная анемия	10525
181	Язва двенадцатиперстной кишки	10489
182	гепатит С, хронический	10391
183	шок, септик	10382
184	Внутричерепная аневризма	10349
185	Склеродермия, диффузная	10329
186	Болезни кошек	10326
187	Болезни птицы	10315
188	Тревожные расстройства	10290
189	Желудочковая дисфункция слева	10263
190	Гастроэзофагеальный рефлюкс	10255
191	Перитонит	10239
192	Заболевания пародонта	10199
193	Болезни свиней	10180
194	Оппортунистические инфекции, связанные со СПИДом	10128
195	Склеродермия, системная	10075
196	Депрессивное расстройство, майор	10060
197	Бесплодие, Мужской	10026
198	Новообразования надпочечников	10004
199	Перекрестная инфекция	9949
200	Саркома	9945
201	Неоваскуляризация, патологическая	9944
202	проказа	9904
203	Тромбофлебит	9890
204	Раны, Непроникающие	9881
205	Тромбоцитопения	9856
206	Новообразования молочной железы, экспериментальные	9854
207	Абсцесс	9835
208	Карцинома мелкоклеточная	9832
209	аутистическое расстройство	9815
210	Новообразования мягких тканей	9794
211	Трансформация клеток, новообразования	9725
212	Уремия	9723
213	Эндометриоз	9684
214	неправильный прикус	9678
215	Болезни овец	9626
216	Ревматические заболевания	9598
217	Боль, Послеоперационный	9578
218	Карцинома, переходная клетка	9558
219	Целиакия	9534
220	Кандидоз	9527
221	гипогликемия	9526
222	Блокада сердца	9466
223	Кариес	9448
224	Ишемическая атака, транзиторная	9388
225	Грипп, Человек	9330
226	Глухота	9265
227	кардиомегалия	9251
228	Нарушения зрения	9229
229	Ангиолимфоидная гиперплазия с эозинофилией	9216
230	Заболевания сонных артерий	9185
231	Респираторный дистресс-синдром, взрослый	9183
232	Эндокардит, бактериальный	9178
233	Идиопатический легочный фиброз	9130
234	гранулема	9089
235	Лейкоз, миелогенный, хронический, BCR-ABL положительный	9061
236	Лекарственная гиперчувствительность	8973
237	Бронхит	8938
238	Венозный тромбоз	8915
239	Диабетические нефропатии	8875
240	Остеомиелит	8849
241	Легочный фиброз	8790
242	Головная боль	8719
243	Дерматит, Контакт	8717
244	гемангиома	8682
245	Гиперплазия предстательной железы	8641
246	Медикаментозное поражение печени	8637
247	холестаз	8589
248	Радиационные поражения	8537
249	Заболевания сетчатки	8519
250	Мышечные дистрофии	8499
251	дерматит, атопический	8484
252	Грибковая инфекция	8412
253	Расстройства поведения детей	8412
254	Черепно-мозговая травма	8369
255	Гастрит	8366
256	Новообразования печени, экспериментальные	8365
257	Лимфома, В-клеточная	8285
258	Нефротический синдром	8269
259	Эшерихиозная палочка Инфекции	8265
260	Эректильная дисфункция	8240
261	Атеросклероз	8177
262	Реперфузионная травма	8157
263	Диабетическая ретинопатия	8149
264	пародонтит	8113
265	Синдром отмены психоактивных веществ	8113
266	Лейкемия, лимфоцитарная, хроническая, B-клеточная	8099
267	Менингит	8085
268	Новообразования эндометрия	8063
269	Субарахноидальное кровоизлияние	8057
270	Заболевания костей	8038
271	Эмфизема	8036
272	Метаболический синдром X	8028
273	Тахикардия	8000
274	Анафилаксия	7962
275	Младенец, Преждевременно, Заболевания	7885
276	Миастения Гравис	7884
277	остеосаркома	7877
278	Гематома	7874
279	Болезнь Грейвса	7860
280	лейомиома	7837
281	Заболевания полости рта	7815
282	бактериемия	7811
283	Заболевания суставов	7796
284	Боковой амиотрофический склероз	7755
285	Новообразования сердца	7627
286	глиобластома	7617
287	Заболевания половых органов, Женский	7558
288	Кардиомиопатия, дилатационная	7545
289	Заболевания позвоночника	7537
290	Воспалительные заболевания кишечника	7529
291	Гипергликемия	7522
292	Аневризма	7518
293	Камни в почках	7489
294	Синдромы апноэ во сне	7479
295	Новообразования носоглотки	7388
296	Кардиомиопатия, Гипертрофическая	7377
297	Заболевания щитовидной железы	7369
298	Средний отит	7345
299	ВИЧ-серопозитивность	7318
300	Заболевания центральной нервной системы	7284
301	Жирная печень	7259
302	Псевдомонадные инфекции	7239
303	Хромосомные аберрации	7234
304	Синдромы иммунологического дефицита	7215
305	Обструкция дыхательных путей	7213
306	Генетическая предрасположенность к заболеваниям	7198
307	Желудочно-кишечные новообразования	7138
308	Простой герпес	7118
309	Менингиома	7084
310	Аппендицит	7071
311	Гепатит А	7058
312	Спортивные травмы	7037
313	Феохромоцитома	7030
314	Миелодиспластические синдромы	7016
315	Отек легких	7006
316	Опухолевые вирусные инфекции	7001
317	Лимфома, крупная В-клеточная, диффузная	6984
318	Колит	6964
319	Сифилис	6955
320	Расстройства памяти	6955
321	Аневризма аорты	6950
322	Тератома	6945
323	Нарушения роста	6941
324	Ринит, Аллергический, Сезонный	6929
325	Синусит	6919
326	Анемия, апластическая	6909
327	Потеря слуха, нейросенсорная	6854
328	Вывихи	6848
329	церебральный паралич	6819
330	Лимфатические заболевания	6817
331	Расстройства питания	6817
332	Осложнения беременности, Сердечно-сосудистые	6799
333	Энцефалит	6769
334	Нарушения свертывания крови	6761
335	Нарушения сна	6749
336	Нервная анорексия	6717
337	Диабетические невропатии	6712
338	малярия, фальципарум	6694
339	Лейкемия, экспериментальная	6685
340	Заболевания толстой кишки	6685
341	Недержание мочи	6685
342	Кишечные заболевания	6681
343	Спондилит, анкилозирующий	6649
344	васкулит	6642
345	Миокардит	6579
346	эозинофилия	6578
347	нейтропения	6576
348	Тромбоэмболия	6570
349	Хламидийные инфекции	6543
350	Синдром Шегрена	6543
351	Диабетические ангиопатии	6525
352	Мерцание желудочков	6519
353	Гипертония, почечная	6499
354	Карцинома, папиллярная	6466
355	мезотелиома	6450
356	Гидроцефалия	6420
357	Болезни рыб	6419
358	Боль в пояснице	6418
359	Пищевая гиперчувствительность	6416
360	Заболевание периферических артерий	6395
361	Артериовенозная фистула	6376
362	Гиперпаратиреоз	6361
363	Гипертония, Портал	6333
364	Обсессивно-компульсивное расстройство	6333
365	Извержения наркотиков	6330
366	Гипотония	6307
367	Метастаз новообразования	6284
368	Повреждение головного мозга, хроническое	6259
369	Менингеальные новообразования	6224
370	Папилломавирусные инфекции	6208
371	Плевральный выпот	6191
372	Заболевания груди	6159
373	Синдром поликистоза яичников	6152
374	Паралич	6139
375	Заболевания периферических сосудов	6110
376	Расстройства личности	6102
377	Талассемия	6100
378	Боль в спине	6094
379	Макулярная дегенерация	6084
380	Расстройства обучения	6073
381	Дерматит, аллергический контакт	6043
382	Аспергиллез	6030
383	Астроцитома	6005
384	Расстройства глотания	5996
385	Двигательные расстройства	5992
386	Новообразования средостения	5987
387	Стеноз аортального клапана	5971
388	Пиелонефрит	5960
389	Карцинома на месте	5957
390	Недостаточность митрального клапана	5946
391	Стеноз митрального клапана	5945
392	Ацидоз	5925
393	Невус	5922
394	гепатит В, хронический	5918
395	Задержка роста плода	5916
396	Хирургическая раневая инфекция	5895
397	липома	5892
398	Аневризма, Расслаивающая	5885
399	шистосомоз	5880
400	Нарушения слуха	5875
401	Смещение межпозвонкового диска	5872
402	расщелина неба	5810
403	Лимфатические метастазы	5807
404	Генитальные Новообразования, Женщины	5802
405	Новообразования глаз	5792
406	Гиперкальциемия	5760
407	Нарушения развития	5746
408	Заболевания поджелудочной железы	5739
409	Заболевания аорты	5719
410	Легочная эмфизема	5714
411	Заболевания спинного мозга	5710
412	Врожденные аномалии	5696
413	Трансплантат против болезни хозяина	5689
414	шок, геморрагический	5685
415	Карцинома, базально-клеточная	5681
416	Болезнь Гентингтона	5676
417	Заболевания желудка	5663
418	Заболевания височно-нижнечелюстного сустава	5661
419	Глаукома, открытый угол	5656
420	Апноэ сна, обструктивное	5636
421	Гонорея	5623
422	Слепота	5619
423	Тахикардия, желудочковая	5615
424	Карцинома, Протоковый, Груди	5609
425	Неврилеммома	5606
426	Эпилепсия, височная доля	5599
427	Шок	5596
428	Юношеские угри	5592
429	Гипертрофия левого желудочка	5588
430	Новообразования брюшины	5575
431	Сколиоз	5553
432	свищ	5527
433	Карцинома, опухоль Эрлиха	5514
434	Карциноидная опухоль	5513
435	Артрит, Инфекционный	5498
436	Синдром Кушинга	5493
437	Новообразования, радиационно-индуцированные	5474
438	Респираторный дистресс-синдром, новорожденный	5455
439	Гиперчувствительность, немедленная	5391
440	артрит, ювенильный ревматоидный	5379
441	Невротические расстройства	5373
442	Пневмоторакс	5362
443	Каротидный стеноз	5342
444	Синдром Бехчета	5328
445	увеит	5327
446	Энцефаломиелит, Аутоиммунный, Экспериментальный	5322
447	Гастроэнтерит	5314
448	Саркома Капоши	5304
449	Фиброма	5289
450	Гематологические заболевания	5260
451	Гепатит, Вирусный, Человеческий	5259
452	протеинурия	5255
453	Варикозное расширение вен	5236
454	Крапивница	5231
455	Брюшные травмы	5219
456	нервно-мышечные заболевания	5213
457	Новообразования кишечника	5209
458	Анемия, гемолитическая	5197
459	Кишечная перфорация	5178
460	Варикоз пищевода и желудка	5168
461	Метаболизм, врожденные ошибки	5165
462	Заболевания желчевыводящих путей	5134
463	Отравление свинцом	5126
464	Нейрофиброматоз 1	5095
465	Герпесвирусные инфекции	5089
466	Обструкция мочеточника	5089
467	Грыжа, Диафрагмальная	5085
468	Бронхиальные новообразования	5048
469	фибросаркома	5037
470	Мочевые камни	5035
471	Зубной налет	5032
472	Саркома, экспериментальная	5000
473	Диссеминированное внутрисосудистое свертывание	4993
474	Холецистит	4973
475	Делирий, слабоумие, амнестические расстройства, когнитивные расстройства	4962
476	Демиелинизирующие заболевания	4950
477	Расстройства пищевого поведения	4944
478	остеопороз, постменопауза	4925
479	Гиперчувствительность, отсроченная	4925
480	Эхинококкоз	4919
481	Фобические расстройства	4911
482	Отек мозга	4903
483	Асцит	4892
484	Интраоперационные осложнения	4879
485	Печеночная энцефалопатия	4857
486	Оппортунистические инфекции	4845
487	Беременность у диабетиков	4843
488	Травмы колена	4833
489	Заболевания сердечного клапана	4804
490	Радиационные поражения, экспериментальные	4796
491	Отслойка сетчатки	4792
492	Лимфома Беркитта	4785
493	Респираторная гиперчувствительность	4764
494	Новообразования желчных протоков	4761
495	Первичная яичниковая недостаточность	4760
496	полиомиелит	4746
497	Резорбция кости	4737
498	Торакальные травмы	4715
499	Плевральные новообразования	4693
500	Генетические заболевания, врожденные	4685
501	Нейродегенеративные заболевания	4675
502	Синдромы компрессии нервов	4663
503	Сальмонеллезные инфекции	4657
504	Расстройства настроения	4657
505	Пневмония, бактериальная	4650
506	Обструкция почечной артерии	4647
507	Кашель	4619
508	Подагра	4618
509	Опоясывающий герпес	4591
510	Новообразования позвоночника	4590
511	Заболевания легких, грибковые	4584
512	Новообразования, второй первичный	4580
513	Нарушения мочеиспускания	4568
514	Лицевой паралич	4562
515	Хористома	4561
516	Дисгенезия гонад	4557
517	Косоглазие	4540
518	Реперфузионное повреждение миокарда	4539
519	Болезнь Лайма	4516
520	гемохроматоз	4515
521	Послеродовые расстройства	4507
522	Заболевания роговицы	4496
523	Кома	4487
524	Стенокардия, нестабильная	4482
525	обморок	4478
526	Болезни грызунов	4477
527	Дефекты перегородки сердца, предсердия	4455
528	токсоплазмоз	4439
529	Головокружение	4439
530	Параплегия	4428
531	папиллома	4425
532	Одышка	4405
533	Брюшной тиф	4404
534	Алкогольное опьянение	4394
535	офтальмоплегия	4385
536	Заболевания двенадцатиперстной кишки	4383
537	Аневризма аорты, брюшная полость	4381
538	Антифосфолипидный синдром	4380
539	Агранулоцитоз	4376
540	Заболевания пищевода	4357
541	Пузырчатка	4344
542	Опухоль Вильмса	4336
543	Цирроз печени, билиарный	4334
544	бета-талассемия	4333
545	Болезнь Шагаса	4326
546	Шрам	4321
547	дерматит, профессиональный	4307
548	Нарушения пигментации	4302
549	Заболевания мочевого пузыря	4284
550	Урологические заболевания	4277
551	Лимфопролиферативные заболевания	4277
552	Дегенерация нервов	4258
553	Нарушения засыпания и поддержания сна	4247
554	Хроническое заболевание	4245
555	Эпилепсия, парциальная	4239
556	Болезни стопы	4233
557	Новообразования тимуса	4227
558	Почечная недостаточность	4227
559	Ретроперитонеальные новообразования	4225
560	Акромегалия	4225
561	Афазия	4223
562	Внутричерепная эмболия и тромбоз	4222
563	Совместная нестабильность	4219
564	Беременность, внематочная	4204
565	Заболевания вегетативной нервной системы	4200
566	Рак, Бронхогенный	4197
567	Травмы глаз	4191
568	Дегенерация сетчатки	4162
569	Новообразования носа	4156
570	Ревмокардит	4148
571	Ранения, Огнестрельное	4148
572	Близорукость	4137
573	Остеоартрит, Колено	4135
574	Ринит, Аллергический, Круглогодичный	4130
575	Порфирия	4123
576	Отравление	4119
577	Болезни птиц	4116
578	Анемия, Гипохромная	4105
579	Новообразования спинного мозга	4104
580	Кишечный свищ	4104
581	Миозит	4095
582	дистония	4089
583	рабдомиосаркома	4086
584	Бронхиальные заболевания	4080
585	Артрит, Экспериментальный	4063
586	Новообразования, зародышевые клетки и эмбриональные	4062
587	Новообразования слюнных желез	4061
588	Недостаточность аортального клапана	4057
589	Новообразования мозжечка	4039
590	Компрессия спинного мозга	4036
591	бруцеллез	4032
592	Аборт, Самопроизвольный	4029
593	Коронарный стеноз	4015
594	Злоупотребление психоактивными веществами, внутривенно	4005
595	Ранения, проникающие	3985
596	Расстройства речи	3981
597	Аномалии коронарных сосудов	3977
598	Инфекционный мононуклеоз	3971
599	Плазмоцитома	3968
600	Пневмония, пневмоцистоз	3965
601	вакциния	3948
602	Меланома, Экспериментальная	3944
603	Пневмококковые инфекции	3939
604	Ревматическая лихорадка	3927
605	Аменорея	3927
606	Акушерские роды, преждевременные роды	3926
607	лейомиосаркома	3924
608	эмболия	3922
609	Соматоформные расстройства	3900
610	Гамартома	3896
611	Гематологические новообразования	3884
612	Аномалии, вызванные наркотиками	3880
613	Заячья губа	3879
614	Аневризма, Ложный	3872
615	Синдром Тернера	3862
616	Ринит	3859
617	Дерматомикозы	3858
618	Межжелудочковая блокада	3849
619	гемиплегия	3843
620	Гранулематоз Вегенера	3842
621	Орбитальные новообразования	3840
622	Артериовенозные мальформации	3829
623	Гипонатриемия	3818
624	Лейкоз, Промиелоцитарный, Острый	3813
625	Фибромиалгия	3812
626	Новообразования брюшной полости	3810
627	дислексия	3800
628	Мышечная атрофия	3779
629	Новообразования нижней челюсти	3777
630	Осложнения беременности, гематологические	3775
631	Потеря слуха	3762
632	Цервикальная интраэпителиальная неоплазия	3759
633	невралгия	3748
634	Множественная травма	3745
635	Невус, Пигментный	3736
636	лейшманиоз, висцеральный	3731
637	Передающиеся заболевания	3730
638	Новообразования околоушной железы	3730
639	гипертензия, реноваскулярная	3729
640	Перикардит	3719
641	Белково-энергетическая недостаточность	3717
642	Грамотрицательные бактериальные инфекции	3716
643	Гипогонадизм	3716
644	Заболевания зрительного нерва	3710
645	Фенилкетонурия	3701
646	Внутричерепные артериовенозные мальформации	3701
647	Абсцесс мозга	3692
648	альбуминурия	3688
649	Паническое расстройство	3687
650	Гипоксия, мозг	3682
651	Заболевания, передающиеся половым путем	3671
652	Переломы большеберцовой кости	3667
653	Тиреоидит, Аутоиммунный	3658
654	Пигментный ретинит	3644
655	Грамположительные бактериальные инфекции	3639
656	Гиперлипопротеинемия II типа	3634
657	Дискинезия, индуцированная лекарствами	3633
658	Смерть плода	3631
659	амебиаз	3625
660	Дерматомиозит	3614
661	Синдромы мальабсорбции	3613
662	Карцинома, внутрипротоковая, неинфильтрирующая	3609
663	Переломы позвоночника	3608
664	Новообразования языка	3604
665	Полипы	3596
666	Ретинобластома	3591
667	Гигантоклеточный артериит	3586
668	Бесплодие	3581
669	Заболевания селезенки	3581
670	Окклюзия трансплантата, сосудистая	3569
671	Эпилептический статус	3558
672	Сексуальная дисфункция, физиологическая	3554
673	Заболевания легких, интерстициальные	3551
674	Пищевод Барретта	3547
675	Новообразования вульвы	3544
676	Кожные заболевания, везикулобуллезный	3536
677	Гиперальдостеронизм	3532
678	Миксома	3521
679	Гематурия	3515
680	Синдром удлиненного интервала QT	3509
681	Микобактериальные инфекции	3506
682	Дерматозы рук	3506
683	Аденокарцинома, муцинозная	3502
684	Корь	3482
685	Головокружение	3479
686	Язва на ноге	3470
687	Мастит крупного рогатого скота	3455
688	Гистиоцитома	3454
689	Бронхиальная гиперреактивность	3450
690	инвагинация	3446
691	Дивертикул	3442
692	Менингит, Бактериальный	3438
693	Осложнения беременности, новообразования	3437
694	Гломерулонефрит, ИГА	3432
695	Гистиоцитома, доброкачественная фиброзная	3428
696	лимфедема	3427
697	Метаболизм аминокислот, врожденные ошибки	3427
698	Новообразования желчного пузыря	3425
699	Брадикардия	3416
700	Бедренные переломы	3413
701	Осложнения акушерских родов	3408
702	Алопеция	3399
703	Желтуха	3385
704	Энтероколит, псевдомембранозный	3384
705	Кератит	3380
706	тимома	3373
707	Пурпура, тромбоцитопеническая	3367
708	Тремор	3366
709	гидронефроз	3364
710	Смерть, Внезапно	3352
711	Дерматозы лица	3348
712	Криптококкоз	3342
713	Несахарный диабет	3342
714	Экзема	3342
715	Кистевой туннельный синдром	3340
716	Боль, Непреодолимый	3332
717	Лимфома, Т-клеточная	3317
718	Новообразования паращитовидной железы	3314
719	Синдром слизисто-кожных лимфатических узлов	3307
720	Зуд	3305
721	Зоб	3303
722	Эритробластоз, Фетальный	3300
723	Заболевания нижней челюсти	3290
724	Галлюцинации	3288
725	Переломы черепа	3275
726	Метаболические заболевания	3268
727	Пузырно-мочеточниковый рефлюкс	3264
728	Фарингит	3263
729	Паранеопластические синдромы	3261
730	Амнезия	3260
731	Миграция инородных тел	3245
732	Дефекты перегородки сердца, желудочковая	3244
733	Внезапная детская смерть	3221
734	Заболевания прямой кишки	3216
735	Гипералгезия	3212
736	Новообразования придаточных пазух носа	3205
737	Столбняк	3203
738	Язва кожи	3203
739	Асфиксия новорожденных	3199
740	Гипокалиемия	3190
741	Анемия, гемолитическая, аутоиммунная	3181
742	перикардиальный выпот	3170
743	Эритема	3159
744	Цистит	3155
745	амблиопия	3142
746	Гепатолентикулярная дегенерация	3127
747	Заболевания гортани	3126
748	обезвоживание	3122
749	Ветряная оспа	3117
750	Аневризма сердца	3114
751	Инфекции сальмонеллы, животное	3111
752	Нейроциркуляторная астения	3108
753	Заражение раны	3105
754	Гистиоцитоз, клетки Лангерганса	3101
755	Дефицит витамина D	3100
756	гемангиосаркома	3096
757	Крипторхизм	3094
758	Мозжечковые заболевания	3093
759	Новообразования, гормонозависимые	3090
760	Дерматит	3086
761	Кератоз	3073
762	Гингивит	3067
763	Стеноз пищевода	3064
764	Эндофтальмит	3060
765	гепатит, хронический	3057
766	Полиорганная недостаточность	3052
767	Синдром усталости, хронический	3041
768	Травмы сухожилий	3039
769	Острый коронарный синдром	3038
770	Коронарный тромбоз	3031
771	Туберкулез Менингеальный	3027
772	Шистосомоз мансони	3026
773	Ожирение, Морбид	3025
774	Болезнь Рейно	3020
775	Гипопитуитаризм	3010
776	Нефрит	3008
777	Туберозный склероз	3006
778	Гиперинсулинизм	3003
779	Языковые расстройства	3002
780	Сердечный выброс, низкий	2998
781	Расстройства фоточувствительности	2998
782	Миотоническая дистрофия	2994
783	Мышечная слабость	2991
784	Пурпура, тромбоцитопеническая, идиопатическая	2985
785	Нарушения полового развития	2980
786	Тонзиллит	2979
787	Болезнь Меньера	2975
788	Целлюлит	2974
789	Мочевой пузырь, нейрогенный	2973
790	Гемангиома, кавернозная	2970
791	Желтуха новорожденных	2970
792	Орбитальные заболевания	2966
793	Дизентерия, бациллярная	2956
794	Инфекции, связанные с протезированием	2955
795	листериоз	2954
796	Саркома Юинга	2952
797	Антисоциальное расстройство личности	2951
798	Новообразования черепа	2948
799	Заболевания, связанные с кокаином	2948
800	Анемия, железодефицитная	2946
801	Героиновая зависимость	2943
802	Узелковый полиартериит	2941
803	Заболевания кишечника, паразитарные	2938
804	Расстройства восприятия	2936
805	Li-Fraumeni Syndrome	2933
806	Коарктация аорты	2930
807	Заболевания матки	2924
808	Гиперплазия надпочечников, врожденная	2920
809	Подвздошные болезни	2918
810	Пограничное расстройство личности	2915
811	Расстройство, связанное с употреблением табака	2914
812	Окостенение, гетеротопическое	2897
813	Деформирующий остит	2892
814	Легочно-сердечная недостаточность	2882
815	Камни мочеточника	2871
816	Поликистоз почек	2868
817	Артериальный проток, открытый	2867
818	Разрыв аорты	2866
819	Агаммаглобулинемия	2865
820	Первичный миелофиброз	2865
821	Внебольничные инфекции	2864
822	Аборт, Привычка	2864
823	Гемолитико-уремический синдром	2861
824	Хориокарцинома	2848
825	Сердечная тампонада	2840
826	Травмы позвоночника	2840
827	Синдром дисфункции височно-нижнечелюстного сустава	2839
828	инфаркт	2838
829	Новообразования глотки	2831
830	Рабдомиолиз	2828
831	Нефрит, интерстициальный	2827
832	Бактериурия	2815
833	Коллагеновые заболевания	2807
834	Перемежающаяся хромота	2806
835	Средний отит с выпотом	2801
836	шум в ушах	2798
837	новообразования лица	2797
838	Гематома субдуральная	2789
839	Силикоз	2785
840	Полицитемия Вера	2784
841	Болезни костей, метаболические	2771
842	Расстройства, связанные с опиоидами	2763
843	Бернс, хим.	2762
844	Синдром Крейтцфельдта-Якоба	2760
845	Синдром ломкой Х-хромосомы	2756
846	Болезни фон Виллебранда	2756
847	Простатит	2754
848	Вирусные инфекции Эпштейна-Барра	2751
849	остеонекроз	2748
850	Лейкемия L1210	2747
851	медуллобластома	2747
852	Цирроз печени, алкогольный	2745
853	маточное кровотечение	2743
854	Тазовые новообразования	2740
855	эмболия, воздух	2735
856	Красный плоский лишай	2735
857	Вывих бедра, врожденный	2731
858	диабет, гестационный	2728
859	Менингоэнцефалит	2725
860	Дефекты нервной трубки	2725
861	Заболевания желчного пузыря	2723
862	Болезни у близнецов	2719
863	Миелопролиферативные заболевания	2713
864	Краснуха	2711
865	Неврит зрительного нерва	2711
866	Грибовидный микоз	2710
867	Аденома, островковая клетка	2707
868	Нарушения дыхания	2703
869	Паркинсонические расстройства	2702
870	Тахикардия, Наджелудочковая	2702
871	карликовость	2700
872	Недержание кала	2698
873	Микобактериальные инфекции, атипичные	2696
874	Миоклонус	2688
875	Ушные заболевания	2684
876	Полипы кишечника	2683
877	Дисгерминома	2681
878	Синовит	2676
879	Травмы сердца	2676
880	Бред	2675
881	Энтерит	2670
882	Синдром Марфана	2664
883	Диабетический кетоацидоз	2658
884	Венозная недостаточность	2657
885	Пневмокониоз	2654
886	нистагм, патологический	2654
887	Недержание мочи, стресс	2649
888	Апноэ	2645
889	Энтеробактериальные инфекции	2640
