,rid,disease_cui,snomed_code,Terms
168,169,C0520998,112218005,Phosphene
169,170,C0221207,74774004,Urticaria due to cold
170,171,C0264693,194823009,Acute coronary insufficiency
171,172,C0270883,72655000,Alternating hypoglossal hemiplegia
172,173,C0270883,9638002,Hypoglossal-pyramid syndrome
173,174,C0393672,230383007,Benign psychomotor epilepsy of childhood
174,175,C0155872,61937009,Simple chronic bronchitis
175,176,C0264291,60100005,Cyst of pharynx
176,177,C0270814,386781001,Spastic syndrome (disorder)
177,178,C0393743,95654002,Chronic paroxysmal hemicrania
178,179,C0014177,22611009,Endometriosis of fallopian tube
179,180,C0267661,25898005,Congenital secretory diarrhea
180,181,C0585541,307673003,Peripheral vestibular nystagmus
181,182,C0009088,193947008,Ciliary neuralgia
182,183,C0262979,277408007,Histologic type of inflammatory skin disorder
183,184,C0343730,266114001,Perianal warts
184,185,C0393788,230539002,Cluster tic syndrome
185,186,C0405322,200420005,"Breast engorgement in pregnancy, the puerperium or lactation with antenatal complication"
186,187,C1270923,387743001,Functional amblyopia
187,188,C0549567,79644001,Pigment alteration
188,189,C0741032,315025001,Refractory angina
189,190,C0863106,444229001,Afebrile seizure
190,191,C1302110,230480006,Headache following myelography
191,192,C0013394,81712001,Pain in female genitalia on intercourse
192,193,C0155919,40541001,Acute pulmonary edema
193,194,C0264611,74227009,Apraxic aphonia
194,195,C2711736,441678004,Refractory generalized nonconvulsive epilepsy
195,196,C0007682,23853001,Disorder of the central nervous system
196,197,C0029788,267824000,Other specified skin disorder NOS
197,198,C0159020,87476004,Convulsions in the newborn
198,199,C0270838,20544001,Secondarily generalized seizures
199,200,C0340099,233706004,Drug-induced acute pulmonary edema
200,201,C0393786,230537000,Idiopathic trigeminal neuralgia
201,202,C0410238,203018002,Infective myositis-foot
202,203,C0427105,249979008,Pusher syndrome
203,204,C0454549,229639009,Hypofunctional aphonia
204,205,C0549201,201077008,Asteatotic eczema
205,206,C0554309,445646001,Prerenal azotemia
206,207,C1504547,418402006,Corneal iron deposits
207,208,C1971624,79890006,Loss of appetite
208,209,C0271518,10277002,Cerebellopontine angle syndrome
209,210,C0341225,235685007,Hamartoma of stomach
210,211,C0474381,247706003,Chromatopsia
211,212,C1319848,407666007,Nocturnal sleep-related eating disorder
212,213,C0270854,71831005,Symptomatic generalized epilepsy
213,214,C0406409,238695001,Aquagenic pruritus
214,215,C1997440,428724006,Arthropathy of knee joint (disorder)
215,216,C1298760,373409004,Inflammatory disorder of mediastinum
216,217,C1534561,156760009,(Neuralgia/neuritis - NOS) or (nerve root pain NEC)
217,218,C2960451,446901009,Verruca vulgaris of skin of pinna
218,219,C1274382,402971008,Erythema multiforme due to mycoplasma infection
219,220,C0009421,371632003,Coma (disorder)
220,221,C0342517,237798008,Drug-induced virilization
221,222,C0566748,48287005,Umbilical cord complication
222,223,C0751185,95658004,Cough headache syndrome
223,224,C1290807,128333008,Diarrheal disorder
224,225,C1304494,403576004,Generalized pruritus of unknown etiology
225,226,C0043352,56893005,Hyposecretion of salivary gland
226,227,C0264589,19903002,Adductor spastic dysphonia
227,228,C0238738,203095000,Spasm of back muscles
228,229,C0267786,36564007,Parasitic fibroid
229,230,C0152227,418035005,Excessive tear production
230,231,C0263893,111237004,Putti's syndrome
231,232,C0278196,53482009,Startle partial seizure
232,233,C0393744,230476001,Atypical cluster headache
233,234,C0393776,230498005,Sleep-related painful erections
234,235,C1274381,402970009,Erythema nodosum due to Yersinia enterocolitica
235,236,C0457014,239045006,"Hyperhidrosis, premature cavities and premolar aplasia"
236,237,C0152230,73098005,Cholinergic urticaria
237,238,C0348751,197370006,Other specified liver disorder
238,239,C0348751,197374002,Other specified liver disorder NOS
239,240,C0268040,55178001,Starvation ketoacidosis
240,241,C0276022,186971007,Juxta-articular yaws nodules
241,242,C0340105,233711002,Oxygen-induced pulmonary edema
242,243,C0458219,128200000,Complex regional pain syndrome
243,244,C1298685,373621006,Chronic pain syndrome
244,245,C2919482,445345005,Remitting seronegative symmetrical synovitis with pitting edema
245,246,C0085543,241006,Epilepsia partialis continua
246,247,C0267660,25319005,Chronic diarrhea of infants AND/OR young children
247,248,C0751931,25690000,Femoral neuropathy
248,249,C0004782,70835005,Disorder of basal ganglia
249,250,C0014548,19598007,Generalized epilepsy
250,251,C0031029,81407003,Apical granuloma
251,252,C0343265,203495005,Algodystrophy of foot
252,253,C0426636,71820002,Urgent desire for stool
253,254,C2584703,64491003,Myxedematous form of cretinism
254,255,C0042454,232416001,Velopharyngeal incompetence
255,256,C0263352,55608001,Prurigo simplex
256,257,C0270705,56271007,Hypothermia-sweating syndrome
257,258,C0263323,28664002,Herpes iris
258,259,C0264679,35928006,Nocturnal angina
259,260,C0586323,361268000,Alcohol-induced epilepsy
260,261,C0009952,41497008,Febrile convulsion
261,262,C0268029,26436007,Disorder of acid-base balance
262,263,C0270860,83351003,Basilar migraine
263,264,C1304360,402603005,Diffuse inflammatory erythema
264,265,C1827190,425007008,"Migraine without aura, not refractory"
265,266,C1827629,423894005,Refractory migraine
266,267,C0001344,363746003,Acute pharyngitis
267,268,C0263320,73658009,"Erythema multiforme, epidermal type"
268,269,C0267613,18526009,Disorder of appendix
269,270,C0521673,95672008,"Unilateral sensory loss of face and trunk, opposite sides"
270,271,C0158334,78435003,Ganglion of joint
271,272,C0269188,758002,Cyst of uterus
272,273,C0585051,307176005,Acute sciatica
273,274,C0260662,362966006,Disorder of auditory system
274,275,C0406616,238910008,Skin disorder of umbilicus
275,276,C0741026,371807002,Atypical angina
276,277,C0042795,421809001,Entoptic phenomenon
277,278,C0037672,80495009,Sleep walking disorder
278,279,C0241075,34319007,Induration of skin
279,280,C0281913,298280009,Swelling of skeletal muscle
280,281,C0338478,230428002,Idiopathic myoclonic epilepsy
281,282,C0422859,29963001,Dysmnesic seizure
282,283,C0158281,33420007,Diffuse cervicobrachial syndrome
283,284,C1720062,421376003,Subjective visual disturbance of image size
284,285,C0011606,400005007,Erythrodermic eczema
285,286,C0011606,200948000,Pityriasis rubra (Hebra)
286,287,C0016428,42323001,Eruption cyst
287,288,C0406139,238411004,Streptococcal intertrigo
288,289,C2316708,432414001,Atonic constipation
289,290,C0017411,310789003,Disorder of female genital system
290,291,C0270846,42365007,Atonic seizure
291,292,C0275983,78351007,Bovine winter dysentery
292,293,C0456071,111474003,Disorder involving the integument of fetus OR newborn
293,294,C0474442,49362009,Corneal edema due to wearing of contact lenses
294,295,C0221260,87065009,Dystrophia unguium
295,296,C0221370,31845005,Retraction of nipple (disorder)
296,297,C0234221,79256006,Acroparesthesia (finding)
297,298,C0234755,78977005,Ocular vertigo
298,299,C0472348,278510009,Localization-related idiopathic epilepsy
299,300,C0522253,103011009,Benign exertional headache
300,301,C1534531,206750008,([D]Hypersomnia with sleep apnoea) or (sleep apnoea syndrome)
301,302,C2960744,446112008,Cyst of pinna
302,303,C0037280,128938009,Parasitic infection of skin
303,304,C0162672,57254004,Fukuhara syndrome
304,305,C0007760,224186005,Cerebellar deficiency syndrome
305,306,C0029741,203839005,[X]Other specified disorders of muscle
306,307,C0029741,203043008,Other specific muscle disorder NOS
307,308,C1290846,127346000,Neurologic disorder of eye movements
308,309,C1578692,156445005,(Skin disorders NOS) or (foreign body granuloma) or (pimple) or (wheal)
309,310,C0269665,50764006,Vomiting due to organic disease during pregnancy
310,311,C0340164,238676008,Lofgrens syndrome
311,312,C0012569,24982008,Diplopia (disorder)
312,313,C0162292,19373007,External ophthalmoplegia
313,314,C0269178,5618007,Cyst of broad ligament
314,315,C0282492,238776001,Idiopathic livedo reticularis with systemic involvement
315,316,C0473118,235905008,Physiological hyperbilirubinemia
316,317,C0473127,236066002,Prototheca diarrhea
317,318,C0014122,73774007,Subacute bacterial endocarditis
318,319,C0341850,237109002,Vulval warts
319,320,C0343467,240411003,Erythema nodosum leprosum
320,321,C1290857,118930001,Disorder of face
321,322,C0022890,20425006,Labyrinthine disorder (disorder)
322,323,C0037278,108365000,Infection of skin
323,324,C0234139,77291009,Complete unilateral paresis
324,325,C0567085,289669005,Pain of uterus (finding)
325,326,C2959494,446434001,Epidermoid cyst of skin of ear
326,327,C0007932,54570006,Chagas' disease without mention of organ involvement (disorder)
327,328,C0015230,112625008,Cutaneous eruption
328,329,C0272088,84260001,Hemoglobinopathy with cyanosis
329,330,C0393728,230453004,Decision-making epilepsy
330,331,C0700438,193028008,Sick headache
331,332,C0025281,13445001,Ménière's disease
332,333,C2711653,442481002,Epilepsy characterized by intractable complex partial seizures
333,334,C0029821,196372009,Other specified periodontal disease
334,335,C0037887,61830005,Sphenopalatine neuralgia
335,336,C0038868,28978003,Progressive supranuclear ophthalmoplegia
336,337,C0270148,38593000,Perinatal cyanotic attacks
337,338,C0422855,68761002,Epileptic vertigo
338,339,C0162835,23006000,Skin hypopigmented
339,340,C0221048,4641009,Myxedema heart disease
340,341,C0270871,1070000,Facial myokymia
341,342,C0343065,402410006,Symptomatic dermographism
342,343,C1274299,402864004,Diabetic wet gangrene of the foot
343,344,C0032533,65323003,Polymyalgia rheumatica
344,345,C1719883,421976005,Hypersensitivity disorder
345,346,C0005937,112643007,Unicameral bone cyst
346,347,C0022541,77835008,Ophthalmoplegia plus syndrome
347,348,C0269103,89001007,Implanted endometriosis
348,349,C1535080,156663001,(Tendinitis: [ankle/tarsus] or [achilles] or [ankle]) or (calcaneal spur) or (metatarsalgia)
349,350,C1571959,155180006,(Lid lag) or (xanthelasma) or (eyelid disorders NOS)
350,351,C0018975,399323001,Day blindness
351,352,C0272104,57020009,Stokvis' disease
352,353,C0394006,230782004,Dysequilibrium syndrome (disorder)
353,354,C0702100,14800001,Dermatitis vegetans
354,355,C1282376,314788004,Divergence insufficiency
355,356,C1628308,418761001,Temporal crescent syndrome
356,357,C2242981,420809008,Hysterical micropsia
357,358,C0015397,371405004,Disorder of eye proper (disorder)
358,359,C0032238,83264000,Epidemic pleurodynia
359,360,C0152167,17440005,Anal spasm
360,361,C0401146,197118003,Constipation - functional
361,362,C0851578,39898005,Sleep disorder
362,363,C0221237,367523002,Perleche
363,364,C0270971,33010005,Floppy infant syndrome (disorder)
364,365,C0271417,34723002,Diffuse otitis externa
365,366,C0156383,22741003,Noninflammatory disorder of the vagina
366,367,C0263398,58872001,Erythema elevatum diutinum (disorder)
367,368,C0341089,197148000,Other functional disorder of the intestine NOS
368,369,C0751523,442512002,Nonconvulsive status epilepticus
369,370,C0033893,66551002,Psychogenic headache
370,371,C0156407,266677000,Menopausal and postmenopausal disorders
371,372,C0238232,86423004,Polyp of larynx
372,373,C0269116,44601009,Endometriosis of colon
373,374,C0275747,90911007,Erythematous plaques of pinta
374,375,C0393722,230447004,Eyelid myoclonus with absences
375,376,C1304464,403177004,Acute edema blisters
376,377,C0156347,5562006,Endometriosis of intestine
377,378,C0339471,232020009,Diabetic maculopathy
378,379,C0559027,267728009,Blind or low vision - one eye only
379,380,C0235560,95431003,Respiratory tract hemorrhage (disorder)
380,381,C0264309,57781000,Disorder of vocal cord
381,382,C1281944,314049009,Endometriosis of uterosacral ligament
382,383,C0004608,42873008,Background retinopathy
383,384,C0012634,64572001,Disease (disorder)
384,385,C0264477,19274004,Grain-handlers' disease
385,386,C0565576,288225004,Myalgia/myositis - multiple
386,387,C1290882,128283000,Chronic nervous system disorder
387,388,C0278110,77015008,Crossed hemiplegia
388,389,C0022354,44018007,Cholestatic jaundice syndrome
389,390,C0263359,58942006,Erythema dyschromicum perstans
390,391,C0269108,84305006,Endometriosis of parametrium
391,392,C0278213,4951008,Nervous asthenopia
392,393,C0520998,29158001,Accommodation phosphene
393,394,C0154706,194547008,[X]Other specified paralytic syndromes
394,395,C0270206,206473001,"Fetal and neonatal jaundice, unspecified"
395,396,C0405079,199028004,Hyperemesis gravidarum with metabolic disturbance - not delivered
396,397,C0442874,386033004,Neuropathy (disorder)
397,398,C0158352,268006001,"Muscle, ligament and fascia disorders"
398,399,C0546212,109251008,Solar pruritus of elbows
399,400,C1285537,363696006,Neonatal cardiovascular disorder
400,401,C1611178,446220004,Cheiro-oral syndrome
401,402,C0009088,230473009,Chronic cluster headache
402,403,C0301918,83699005,Hypersensitivity reaction mediated by immune complex
403,404,C0409264,202642007,"Joint disorder NOS, of ankle and foot"
404,405,C0477961,206697000,[X]Other specified conditions of the integument specific to fetus and newborn
405,406,C0575032,298254008,Thoracic facet joint pain
406,407,C0347949,193655003,Other psychophysical visual disturbance
407,408,C0016807,81120009,Functional disorder of intestine
408,409,C0343042,125151004,Macula cerulea
409,410,C0409783,202439008,Villonodular synovitis of metacarpophalangeal joint
410,411,C0003460,2472002,Anuria (finding)
411,412,C0393624,230348008,Palatal-tympanic myoclonus
412,413,C0018196,72211003,Laryngeal granuloma
413,414,C0026848,129565002,Disorder of muscle
414,415,C0029788,201320001,Other specified skin disorders
415,416,C0576533,299784009,Horizontal doll's head reflex absent
416,417,C0029781,198532008,[X]Other specified disorders of kidney and ureter
417,418,C0268316,15770003,Acute cholestatic jaundice syndrome
418,419,C0393701,230420009,Symptomatic Lennox-Gastaut syndrome
419,420,C0730120,312770008,Cyst of iris and/or ciliary body
420,421,C1321490,403178009,Eczema craquelé due to acute edema
421,422,C0031736,238525001,Polymorphic light eruption
422,423,C0393787,230538005,Secondary trigeminal neuralgia
423,424,C0031256,50091001,Petechia
424,425,C0221005,80660001,Mauriac's syndrome
425,426,C1304055,402178001,Brachioradial pruritus
426,427,C1449721,34831003,Breast engorgement in newborn
427,428,C2960306,446441007,Epidermoid cyst of skin of cheek
428,429,C0013238,46152009,Tear film insufficiency
429,430,C0155006,70042006,Psychophysical visual disturbance
430,431,C0236103,95364002,Application site disorder
431,432,C0234545,49481000,Postseizure delirium
432,433,C0473807,206304007,Perinatal hemoptysis
433,434,C0581395,309090002,Infection of penis
434,435,C2960290,446935007,Epidermoid cyst of skin of groin
435,436,C0009663,266113007,Genital warts
436,437,C0033117,6273006,Priapism (disorder)
437,438,C0264130,89874002,Xiphoidalgia syndrome
438,439,C0270850,36803009,Idiopathic generalized epilepsy (disorder)
439,440,C0409273,202358000,"Joint derangement NOS, of the ankle and foot"
440,441,C1290048,123584008,Urticaria perstans
441,442,C1636157,418817000,Corneal argyriasis
442,443,C0406532,200922008,Erythema tuberculatum
443,444,C0729254,313328009,Accommodative fatigue
444,445,C1268586,129612002,Anterior ethmoidal nerve syndrome
445,446,C1274904,403575000,Pruritus due to systemic disorder
446,447,C1313946,405244005,Urine induced contact dermatitis
447,448,C0231926,11483009,Ventilatory defect
448,449,C0267868,38654001,Recurrent biliary colic
449,450,C0340289,233821000,New onset angina
450,451,C0393737,230470007,Episodic tension-type headache
451,452,C0028992,239095007,Omphalitis
452,453,C0238185,10718002,Juvenile myxedema
453,454,C0270788,29426003,Paralytic syndrome
454,455,C0394004,278509004,Congenital non-progressive ataxia
455,456,C0022904,31053003,Disorder of lacrimal system
456,457,C0152163,335002,Pylorospasm
457,458,C0221243,15576007,Necrolytic migratory erythema
458,459,C0574714,297941009,Drug-induced toxic erythema
459,460,C1276129,402481000,Porphyria-induced scleroderma
460,461,C0275746,37160003,Pintid
461,462,C0029805,201079006,Other specified atrophic and hypertrophic conditions of skin
462,463,C0393720,95208000,Photogenic epilepsy
463,464,C0278135,71778000,Sensory extinction
464,465,C0267397,75938008,Alimentary tract pain due to vascular insufficiency
465,466,C0338483,230463007,Migraine with prolonged aura
466,467,C0041912,54150009,Upper respiratory infection
467,468,C0149931,37796009,Migraine (disorder)
468,469,C0276672,41030002,Coccidioidomycosis with erythema multiforme
469,470,C3164057,449189009,Mass associated with atrioventricular valve leaflet in atrioventricular septal defect
470,471,C0340849,234162000,Simple faint
471,472,C1456822,275520000,Claudication
472,473,C1665347,192874000,Cerebellar ataxia associated with another disorder
473,474,C2960037,447066005,Foreign body granuloma of penis
474,475,C0027765,118940003,Disorder of nervous system
475,476,C0234906,200920000,Annular erythema
476,477,C0339230,231904004,Diffuse stromal keratoconjunctivitis
477,478,C1299439,371811008,Recurrent angina post rotational atherectomy
478,479,C0014175,129103003,Endometriosis (clinical)
479,480,C0029794,201383002,[X]Other specified erythematous conditions
480,481,C0042109,126485001,Urticaria (disorder)
481,482,C0232826,76569007,Anti-diuresis
482,483,C0011603,182782007,Dermatitis (disorder)
483,484,C0027436,31490007,Nasociliary neuralgia
484,485,C0039584,64910008,Disorder of testis
485,486,C0260662,362989003,Auditory dysfunction
486,487,C0272391,55366007,Tonsillar tag
487,488,C0393697,230414008,Epilepsy with grand mal seizures on awakening
488,489,C0399493,109789004,Amalgam tattoo
489,490,C1290613,119291004,Disorder of upper gastrointestinal tract
490,491,C0040997,31681005,Trigeminal neuralgia
491,492,C0458225,279063004,Lumbar facet joint pain
492,493,C0263358,399914006,Erythema annulare centrifugum
493,494,C0393612,230339003,Isolated head tremor
494,495,C0393676,230387008,Benign occipital epilepsy of childhood - early onset variant
495,496,C0406047,267788007,Local infection skin/subcut tissue NOS (disorder)
496,497,C0023066,406444002,Laryngeal spasm
497,498,C0206586,9794007,Endolymphatic hydrops
498,499,C0234136,23728006,Partial bilateral paralysis
499,500,C0234138,40893006,Partial unilateral paresis
500,501,C0236048,78809005,Gastric polyp
501,502,C0340021,233651009,Endometriosis of pleura
502,503,C0393572,230298007,Disorder presenting primarily with chorea
503,504,C0030436,65068000,Parakeratosis (morphologic abnormality)
504,505,C0393745,230477005,Chronic post-traumatic headache (disorder)
505,506,C0014544,313307000,Epileptic seizure
506,507,C0014544,128613002,Seizure disorder
507,508,C0030469,7393007,Disorder of nasal sinus
508,509,C0085109,19161004,Corneal neovascularization
509,510,C0149875,65754002,Primary dysmenorrhea
510,511,C0393691,230404004,Occipital lobe epilepsy
511,512,C0017411,244938009,Disorder of female genital organs
512,513,C0155803,195525003,Other specified diseases of circulatory system
513,514,C0265894,16972009,Congenital aneurysm of aorta
514,515,C1510417,30767006,Gait apraxia
515,516,C1571968,195830008,Nasal: [obstruction] or [congestion (& sinus)] or [infection] or [sore nostril] or [cavity and sinus disease NOS]
516,517,C0037120,61233003,Silo-fillers' disease
517,518,C1534255,156025005,Dysmenorrhoea (& [non psychogenic] or [congestive] or [spasmodic])
518,519,C0014553,50866000,Childhood absence epilepsy
519,520,C0030353,248487006,Optic disc swelling
520,521,C0338534,230530003,Congenital nuclear ophthalmoplegia
521,522,C0686533,95201006,Pallor of spleen
522,523,C0751785,230423006,Unverricht-Lundborg syndrome
523,524,C0031762,22649008,Photodermatitis (disorder)
524,525,C0263888,33308003,Disorder of back
525,526,C0595948,23374007,Atypical absence seizure
526,527,C0948349,418092006,Respiratory tract congestion
527,528,C1299440,371812001,Recurrent angina after directional coronary atherectomy
528,529,C0152226,60735000,Lagophthalmos
529,530,C0157729,201074001,Other abnormal granulation tissue NOS
